Unnamed: 0.1,tower,lat,lon,orbit,scene,tile,time_UTC,date_UTC,doy,time_solar,AOT,COT,vapor_gccm,ozone_cm,SZA,KG,Unnamed: 0,lat_Y,lon_Y,orbit_Y,scene_Y,tile_Y,time_UTC_Y,time_solar_Y,BESSinst,ESI,ESIdaily,ESIdailyUncertainty,ETdaily,ETdailyUncertainty,ETinstUncertainty,EmisWB,GPP,LST,LST_err,MOD16inst,NDVI-UQ,PET,PTJPLSMcanopy,PTJPLSMinst,PTJPLSMinterception,PTJPLSMsoil,RH,Rg,Rn,SM,STICcanopy,STICinst,Ta,WUE,albedo-UQ,height,radiance_1,radiance_2,radiance_3,radiance_4,radiance_5,view_zenith,year,Ta_C,ST_K,NDVI,albedo,ST_C,elevation_km,Ra,UV,VIS,NIR,VISdiff,NIRdiff,VISdir,NIRdir,SWout,LWin,LWout,hour_of_day,Topt,fAPARmax
10,US-Ha2,42.5393,-72.1779,11313,8,18TYN,2020-07-04 00:00:00,2020-07-04,186,2020-07-03 19:11:17.304,0.2984087765216827,67.89544677734375,3.856054782867432,0.3080978393554687,86.78338452388029,4.0,1216,42.5393,-72.1779,11313,8,18TYN,7/4/20 12:28,40:06.3,236.96555,0.88214296,1.0,0.00516,3.7621635,0.051599998,48.970062,0.962,19.33725,290.66,1.72,325.24744,,249.06741,0.5570273,219.71307,0.41099745,0.029636104,0.78104734,1.488699743822398,0.0,0.21438378,0.11800835,317.2344,18.707645,0.0,,345.04053,,7.517952,,8.071396,7.339207,11.231974,2020,18.707645,290.66,0.88104045,0.12842523,17.51,0.058,72.36479076457483,0.1404401464733551,0.826611785574702,0.5205200432887005,0.7556725625948874,0.5202532247431038,0.0709392229798147,0.0002668185455967,0.1911866070013325,339.0984031658071,389.3384784095954,19,0.0,0.5545
11,US-Ha2,42.5393,-72.1779,11645,7,18TYN,2020-07-25 00:00:00,2020-07-25,207,2020-07-24 19:11:17.304,0.0973971635103225,0.4827753603458404,2.254345417022705,0.3221421539783478,89.01003552284529,4.0,1227,42.5393,-72.1779,11645,7,18TYN,7/25/20 22:08,19:28.3,144.50807,0.81439555,1.0,0.00492,5.9054467,0.0492,28.03661,0.966,15.199834,297.34,1.64,165.6629,,143.2915,0.8529302,116.69596,0.13823767,0.010313977,0.5812217,4.681744095143411,0.0,0.17234899,0.9023444,91.346664,26.107592,0.0,,343.54968,,8.45647,,8.966947,8.02363,7.5987687,2020,26.107592,297.34,0.9024982,0.13480766,24.19,0.058,22.34725421865416,0.3592080302531747,2.3439159652628065,1.9867545845628,1.0546497761888778,1.9840044030981343,1.2892661890739288,0.0027501814646653,0.6311349661851006,381.090580159304,428.1556241079645,19,0.0,0.5545
12,US-Ha2,42.5393,-72.1779,11645,7,18TYN,2020-07-25 00:00:00,2020-07-25,207,2020-07-24 19:11:17.304,0.0973971635103225,0.4827753603458404,2.254345417022705,0.3221421539783478,89.01003552284529,4.0,1228,42.5393,-72.1779,11645,7,18TYN,7/25/20 22:08,19:28.3,144.50807,0.81439555,1.0,0.00492,5.9054467,0.0492,28.03661,0.966,15.199834,297.34,1.64,165.6629,,143.2915,0.8529302,116.69596,0.13823767,0.010313977,0.5812217,4.681744095143411,0.0,0.17234899,0.9023444,91.346664,26.107592,0.0,,343.54968,,8.45647,,8.966947,8.02363,7.5987687,2020,26.107592,297.34,0.9024982,0.13480766,24.19,0.058,22.34725421865416,0.3592080302531747,2.3439159652628065,1.9867545845628,1.0546497761888778,1.9840044030981343,1.2892661890739288,0.0027501814646653,0.6311349661851006,381.090580159304,428.1556241079645,19,0.0,0.5545
13,US-Ha2,42.5393,-72.1779,11706,7,18TYN,2020-07-29 00:00:00,2020-07-29,211,2020-07-28 19:11:17.304,0.0643142983317375,0.0235195718705654,2.659468412399292,0.3065185546875,89.64406442873387,4.0,1234,42.5393,-72.1779,11706,7,18TYN,7/29/20 20:33,44:37.3,21.763159,0.7901458,1.0,0.00636,3.84130205,0.063599996,114.17287,0.964,2.7176647,300.18,2.12,333.08273,,294.00842,0.88866913,232.72806,0.10666265,0.00445547,0.5400661,1.812626429222025,0.0,0.13617004,0.8463802,227.00558,27.96613,0.0,,344.74384,,8.599213,,9.070973,7.9363494,5.523331,2020,27.96613,300.18,0.9033745,0.13086593,27.03,0.058,8.043455468440312,0.1424491083128606,0.9251482102777032,0.7443368112057491,0.8462117112712835,0.7411327036526677,0.0789364990064197,0.0032041075530814,0.2372110434027194,392.13850465770815,443.8285396065612,19,0.0,0.5545
14,US-Ha2,42.5393,-72.1779,11862,11,18TYN,2020-08-08 00:00:00,2020-08-08,221,2020-08-07 19:11:17.304,0.2001703381538391,12.56296730041504,3.5228257179260254,0.3032028079032898,91.48028229239156,4.0,1245,42.5393,-72.1779,11862,11,18TYN,8/8/20 22:21,32:21.3,,,,,,,,0.966,,296.1,1.92,,,,,,,,,0.0,,,,,,,,344.84042,,8.163058,,8.680453,7.7689753,1.2882493,2020,,296.1,0.93332154,0.11703958,22.95,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,421.058010735517,19,0.0,0.5545
15,US-Ha2,42.5393,-72.1779,11889,9,18TYN,2020-08-10 00:00:00,2020-08-10,223,2020-08-09 19:11:17.304,0.2012852728366851,13.680046081542969,3.424923658370972,0.3079285323619842,91.88666681206468,4.0,1255,42.5393,-72.1779,11889,9,18TYN,8/10/20 15:53,04:26.3,105.912796,0.80285054,1.0,0.00624,6.00117225,0.062399995,194.45526,0.926,9.147849,292.78,2.08,646.64105,,568.1375,0.8412701,454.99124,0.15859672,0.0,0.5968108,0.0,3.4665565207430404,0.1458395,0.0,402.11765,26.975048,0.0,,344.49683,,7.738635,,8.386946,7.389204,4.805344,2020,26.975048,292.78,0.93164396,0.11922149,19.63,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.2892697814914,385.82271326074834,19,0.0,0.5545
16,US-Ha2,42.5393,-72.1779,12045,8,18TYN,2020-08-20 00:00:00,2020-08-20,233,2020-08-19 19:11:17.304,0.0605985708534717,29.491792678833008,2.085841417312622,0.3250710666179657,94.08572535044073,4.0,1264,42.5393,-72.1779,12045,8,18TYN,8/20/20 17:39,51:07.3,294.6671,0.80120033,1.0,0.00408,4.2659791,0.040799998,199.98715,0.97,30.083788,292.0,1.36,565.0575,,459.1623,0.9340877,367.53885,0.0586682,0.006028839,0.46708077,0.0,0.0,0.15968221,0.0,8.159693,21.867529,0.0,,344.65482,,7.6579275,,8.258035,7.487427,2.2289126,2020,21.867529,292.0,0.90833116,0.1508014,18.85,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.1195490355431,399.8658527916333,19,0.0,0.5545
17,US-Ha2,42.5393,-72.1779,12167,9,18TYN,2020-08-28 00:00:00,2020-08-28,241,2020-08-27 19:11:17.304,0.9104353189468384,17.07076644897461,3.395973920822144,0.2944883704185486,96.013078511468,4.0,1271,42.5393,-72.1779,12167,9,18TYN,8/28/20 14:32,44:13.3,295.30405,0.7853454,1.0,0.0042,4.08159625,0.042,79.133095,0.954,25.186275,291.24,1.4,476.4203,,383.43073,0.81268513,302.2213,0.17937942,0.008522591,0.6157341,0.0,0.0,0.12904672,0.6634466,314.4463,21.726105,0.0,,342.65668,,7.5619507,,8.176126,7.3050246,3.6893504,2020,21.726105,291.24,0.8907377,0.16688636,18.09,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.610215761892,389.1917652030269,19,0.0,0.5545
18,US-Ha2,42.5393,-72.1779,12743,9,18TYN,2020-10-04 00:00:00,2020-10-04,278,2020-10-03 19:11:17.304,0.0805394202470779,0.3154704868793487,1.2209668159484863,0.2959953844547272,105.81062460036075,4.0,1278,42.5393,-72.1779,12743,9,18TYN,10/4/20 18:08,20:00.3,124.33132,0.770077,,,1.5604949,,115.33945,0.938,15.32677,284.64,1.28,380.35138,,279.4115,0.9538061,215.13716,0.034458645,0.011794937,0.40982836,0.0,0.0,0.12254296,0.6530081,82.33028,17.141027,0.0,,344.83676,,6.6238923,,7.260374,6.272776,9.413753,2020,17.141027,284.64,0.83036953,0.032843072,11.49,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.5163374749531,349.1384983687676,19,0.0,0.5545
19,US-Ha2,42.5393,-72.1779,12758,8,18TYN,2020-10-05 00:00:00,2020-10-05,279,2020-10-04 19:11:17.304,0.1895320117473602,1.3635624647140503,1.7240827083587646,0.2896422743797302,106.0749561322456,4.0,1280,42.5393,-72.1779,12758,8,18TYN,10/5/20 17:21,32:51.3,222.56302,0.78186953,1.0,0.0042,3.3169721,0.042,109.390594,0.966,17.556622,288.4,1.4,518.0882,,387.86874,0.92213583,303.35175,0.049222004,0.026832396,0.4513983,0.0,0.0,0.13783805,0.8223837,383.82672,18.44303,0.0,,345.7596,,7.0810695,,7.705423,6.951297,28.585787,2020,18.44303,288.4,0.81862456,0.03284198,15.25,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.41189894962014,378.9390211687609,19,0.0,0.5545
20,US-Ha2,42.5393,-72.1779,12804,9,18TYN,2020-10-08 00:00:00,2020-10-08,282,2020-10-07 19:11:17.304,0.0938874632120132,0.3492354452610016,1.7263551950454712,0.2923404574394226,106.86185536343324,4.0,1282,42.5393,-72.1779,12804,9,18TYN,10/8/20 16:35,47:01.3,133.37726,0.7482561,1.0,0.00252,3.3159287,0.025199998,134.81564,0.978,13.71339,284.42,0.84,492.44537,,340.21274,0.97360355,254.56625,0.024214257,0.002182185,0.37488574,0.0,0.0,0.101332396,0.84003353,375.64566,14.619561,0.0,,343.6724,,6.745552,,7.360841,6.878972,10.191639,2020,14.619561,284.42,0.7968255,0.08952055,11.27,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.88171247819866,362.9030025969678,19,0.0,0.5545
21,US-Ha2,42.5393,-72.1779,12819,7,18TYN,2020-10-09 00:00:00,2020-10-09,283,2020-10-08 19:11:17.304,0.040773905813694,1.683426603449334e-06,0.8115083575248718,0.286106139421463,107.1218760521678,4.0,1284,42.5393,-72.1779,12819,7,18TYN,10/9/20 15:48,59:35.3,129.38638,0.7688677,,,2.1552985,,118.74164,0.97,14.935748,284.54,1.0,455.3086,,296.22137,0.9640245,226.31848,0.029999595,0.005975936,0.3949692,0.0,0.0,0.11657277,0.7654815,272.37784,11.517312,0.0,,344.81958,,6.6196666,,7.2974296,6.8732085,28.575914,2020,11.517312,284.54,0.8425282,0.07297123,11.39,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.6480336412026,360.5422970378344,19,0.0,0.5545
22,US-Ha2,42.5393,-72.1779,12838,9,18TYN,2020-10-10 00:00:00,2020-10-10,284,2020-10-09 19:11:17.304,0.2746190428733825,5.493587493896484,1.6466271877288818,0.2833012640476227,107.38063334970832,4.0,1286,42.5393,-72.1779,12838,9,18TYN,10/10/20 21:29,41:12.3,,,,,,,,0.972,,291.46,1.6,,,,,,,,,0.0,,,,,,,,343.22705,,7.632049,,8.219862,7.489494,3.940314,2020,,291.46,0.80582994,0.08379275,18.31,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,397.7345198445269,19,0.0,0.5545
23,US-Ha2,42.5393,-72.1779,13021,9,18TYN,2020-10-22 00:00:00,2020-10-22,296,2020-10-21 19:11:17.304,0.1623110771179199,8.86286449432373,2.725414752960205,0.3053974211215973,110.36011121794274,4.0,1297,42.5393,-72.1779,13021,9,18TYN,10/22/20 16:47,58:45.3,206.83214,0.80586666,,,1.7121899,,68.4537,0.962,15.216166,292.48,1.8,363.00983,,278.30136,0.8105186,223.98094,0.10322705,0.08624304,0.55625564,0.0,0.0,0.15760261,0.81328386,195.25851,21.242327,0.0,,343.37445,,7.6242228,,8.177638,7.314168,3.481112,2020,21.242327,292.48,0.73806614,0.12304779,19.33,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.80184574148427,399.1819971085535,19,0.0,0.5545
24,US-Ha2,42.5393,-72.1779,13597,9,18TYN,2020-11-28 00:00:00,2020-11-28,333,2020-11-27 19:11:17.304,0.1306214779615402,17.538597106933594,1.1206848621368408,0.2651195824146271,117.03636188979353,4.0,1304,42.5393,-72.1779,13597,9,18TYN,11/28/20 20:15,26:19.3,,,,,,,,0.972,,277.18,0.92,,,,,,,,,0.0,,,,,,,,341.8414,,5.798264,,6.487722,6.1133413,2.2598126,2020,,277.18,0.6778266,0.10673353,4.03,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,325.33066806593524,19,0.0,0.5545
25,US-Ha2,42.5393,-72.1779,15428,9,18TYN,2021-03-26 00:00:00,2021-03-26,85,2021-03-25 19:11:17.304,0.1919984966516494,2.16483211517334,1.4124293327331543,0.2940995097160339,101.98200749154002,4.0,1375,42.5393,-72.1779,15428,9,18TYN,3/26/21 21:36,48:02.3,,,,,,,,0.912,,274.24,1.44,,,,,,,,,0.0,,,,,,,,344.23242,,5.6351147,,6.410901,5.7916393,4.809436,2021,,274.24,0.72942895,0.087301224,1.09,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,292.5022543963242,19,0.0,0.5545
26,US-Ha2,42.5393,-72.1779,15489,10,18TYN,2021-03-30 00:00:00,2021-03-30,89,2021-03-29 19:11:17.304,0.0916568487882614,0.0,0.473672866821289,0.3710461556911468,100.88778001841082,4.0,1377,42.5393,-72.1779,15489,10,18TYN,3/30/21 20:03,15:15.3,99.47554,0.8945187,,,2.204261,,89.6694,0.974,8.514742,286.0,0.72,335.90305,,204.97754,0.72267634,183.34045,0.04077093,0.23607117,0.4644537,0.0,0.0,0.21981312,0.8037859,139.12468,11.371545,0.0,,344.16684,,6.9376698,,7.5564833,7.0246515,5.7500772,2021,11.371545,286.0,0.64847386,0.10808246,12.85,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.35307275947,369.5168676172435,19,0.0,0.5545
27,US-Ha2,42.5393,-72.1779,15550,9,18TYN,2021-04-03 00:00:00,2021-04-03,93,2021-04-02 19:11:17.304,0.0988761484622955,3.281041383743286,0.4392134249210357,0.460883229970932,99.80086403787963,4.0,1379,42.5393,-72.1779,15550,9,18TYN,4/3/21 18:31,42:32.3,111.82093,0.8872864,1.0,0.0018,2.78270995,0.018000001,154.81425,0.968,8.175176,281.44,0.6,523.811,,266.38544,0.7394676,237.17616,0.015481059,0.2451395,0.36345565,0.0,0.0,0.23026036,0.74878114,202.25725,4.775162,0.0,,342.68826,,6.29755,,6.9776816,6.583826,6.736445,2021,4.775162,281.44,0.64174014,0.1077068,8.29,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.73071635313025,344.37357897202713,19,0.0,0.5545
28,US-Ha2,42.5393,-72.1779,15871,5,18TYN,2021-04-24 00:00:00,2021-04-24,114,2021-04-23 19:11:17.304,0.102848932147026,0.0,0.8546398282051086,0.4151755273342132,94.40360162375606,4.0,1411,42.5393,-72.1779,15871,5,18TYN,4/24/21 10:01,12:32.3,,,,,,,,0.938,,308.5,1.0,,,,,,,,,0.0,,,,,,,,343.64777,,9.183499,,10.293876,9.104933,25.10857,2021,,308.5,0.5951485,0.099524975,35.35,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,481.7643839986827,19,0.0,0.5545
29,US-Ha2,42.5393,-72.1779,15905,12,18TYN,2021-04-26 00:00:00,2021-04-26,116,2021-04-25 19:11:17.304,0.265817642211914,16.231544494628906,1.1402544975280762,0.3871679008007049,93.93177921093437,4.0,1414,42.5393,-72.1779,15905,12,18TYN,4/26/21 14:56,07:19.3,145.10695,0.79090333,,,2.145907,,214.00035,0.97,7.0959096,281.48,0.8,582.24554,,297.95514,0.7715071,236.09113,0.03632458,0.19239241,0.4415799,0.0,0.0,0.17006725,0.0,1.2966785,5.355816,0.0,,343.80392,,6.236531,,6.9553795,6.5256824,27.561142,2021,5.355816,281.48,0.6139189,0.102815636,8.33,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.95643708480415,345.2813190028943,19,0.0,0.5545
30,US-Ha2,42.5393,-72.1779,16469,10,18TYN,2021-06-01 00:00:00,2021-06-01,152,2021-05-31 19:11:17.304,0.0835242196917533,4.101302146911621,1.8164142370224,0.3540680706501007,87.60699721931293,4.0,1434,42.5393,-72.1779,16469,10,18TYN,6/1/21 19:20,31:29.3,231.7239,0.83673793,1.0,0.00432,3.57853755,0.0432,66.65657,0.964,24.695623,290.72,1.44,402.87784,,317.05792,0.8743914,262.77563,0.06300529,0.06260334,0.4915863,7.697689521934598,0.0,0.21408345,0.8259012,278.9557,20.428516,0.0,,345.0221,,7.437059,,8.033682,7.182684,20.92649,2021,20.428516,290.72,0.84191245,0.09335594,17.57,0.058,54.09262319971874,0.6775184330995986,3.910958630878759,3.0999527641370688,2.3996271036330765,3.0928032124918183,1.5113315272456824,0.0071495516452504,0.718625041148355,332.3066478381953,390.47016154737264,19,0.0,0.5545
31,US-Ha2,42.5393,-72.1779,16469,10,18TYN,2021-06-01 00:00:00,2021-06-01,152,2021-05-31 19:11:17.304,0.0835242196917533,4.101302146911621,1.8164142370224,0.3540680706501007,87.60699721931293,4.0,1435,42.5393,-72.1779,16469,10,18TYN,6/1/21 19:20,31:29.3,231.7239,0.83673793,1.0,0.00432,3.57853755,0.0432,66.65657,0.964,24.695623,290.72,1.44,402.87784,,317.05792,0.8743914,262.77563,0.06300529,0.06260334,0.4915863,7.697689521934598,0.0,0.21408345,0.8259012,278.9557,20.428516,0.0,,345.0221,,7.437059,,8.033682,7.182684,20.92649,2021,20.428516,290.72,0.84191245,0.09335594,17.57,0.058,54.09262319971874,0.6775184330995986,3.910958630878759,3.0999527641370688,2.3996271036330765,3.0928032124918183,1.5113315272456824,0.0071495516452504,0.718625041148355,332.3066478381953,390.47016154737264,19,0.0,0.5545
